episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1,raw_feature_ok_v1_2,z_range_v1_2,z_rate_peak_v1_2,pitch_range_v1_2,pitch_rate_peak_v1_2,lat_offset_range_raw_v1_2,speed_range_raw_v1_2,brake_range_raw_v1_2,roll_range_raw_v1_2,ay_abs_peak_raw_v1_2,yaw_rate_abs_peak_raw_v1_2,duration_over_15s_v1_2,duration_over_20s_v1_2,height_jump_suspected_v1_2,pitch_jump_suspected_v1_2,lat_offset_extreme_suspected_v1_2,speed_range_extreme_suspected_v1_2,offroad_or_road_recovery_suspected_v1_2,v1_2_decision,v1_2_decision_cn,v1_2_decision_detail_cn,is_train_candidate_v1_2,is_deferred_v1_2,is_control_candidate_v1_2,is_discarded_v1_2,review_panel_v1_2_path,raw_feature_ok_v1_3,z_residual_range_v1_3,z_residual_rate_peak_v1_3,z_trend_ratio_v1_3,z_monotonic_fraction_v1_3,lat_offset_adjacent_jump_peak_v1_3,lat_offset_large_jump_count_v1_3,speed_drop_from_start_v1_3,speed_drop_peak_to_peak_v1_3,brake_peak_v1_3,pitch_residual_range_v1_3,road_grade_like_z_v1_3,z_transient_suspected_v1_3,lat_offset_jump_suspected_v1_3,speed_brake_response_suspected_v1_3,roadedge_or_offroad_suspected_v1_3,v1_3_decision,v1_3_decision_cn,v1_3_decision_detail_cn,is_train_candidate_v1_3,is_deferred_v1_3,is_control_candidate_v1_3,is_discarded_v1_3,review_panel_v1_3_path,z_start_median_v1_4,z_min_after_start_v1_4,z_max_after_start_v1_4,z_drop_from_start_v1_4,z_rise_from_start_v1_4,z_drop_large_keep_v1_4,v1_4_decision,v1_4_decision_cn,v1_4_decision_detail_cn,is_train_candidate_v1_4,is_deferred_v1_4,is_control_candidate_v1_4,is_discarded_v1_4,review_panel_v1_4_path,v1_5_decision,v1_5_decision_cn,v1_5_decision_detail_cn,is_train_candidate_v1_5,is_deferred_v1_5,is_control_candidate_v1_5,is_discarded_v1_5,review_panel_v1_5_path,v1_8_decision,v1_8_decision_cn,v1_8_decision_detail_cn,is_train_candidate_v1_8,is_deferred_v1_8,is_control_candidate_v1_8,is_discarded_v1_8,original_episode_start_s_v1_8,model_anchor_s_v1_8,model_anchor_source_v1_8,ignored_start_like_vehicle_onset_v1_8,stable_prefix_removed_s_v1_8,stable_prefix_trimmed_v1_8,model_obs_start_s_v1_8,model_obs_end_s_v1_8,model_label_start_s_v1_8,model_label_end_s_v1_8,review_panel_v1_8_path
rec_v1_byx_2025_09_28_17_25_18_0008,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,8,226.69,242.49,15.800000000000011,226.71,226.695,228.06,226.71,235.539,车辆先变化,1.365000000000009,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,114.40838095238097,5.192539047619047,0.2121904761904761,0.294967619047619,0.071056669047619,2.5033609047619043,21.10448134915308,0.0,4.095476190476177,3.373318333333333,224.69,244.49,fix_road,施工/维修变道/道路受限,225.305,-9.284999999999997,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\core_extreme_核心极限样本\rec_v1_byx_2025_09_28_17_25_18_0008.png,,True,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0061200000000001,0.0552499999994324,0.0017165699999999,0.00723586,3.49338,4.096999999999994,0.0,0.1351225999999999,5.19462,0.21245,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.80 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0061733463617708,0.0552236561172906,1.0087167257795266,0.6025316455696202,1.744,14,4.085999999999999,4.096999999999994,0.03,0.0018261365268432,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.80 秒，先进入复核而不直接训练,False,True,False,False,,-7.14341,-7.14519,-7.13907,0.0017800000000001,0.00434,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,226.69,226.695,车辆响应,False,0.0049999999999954525,False,224.695,226.695,226.695,232.695,
rec_v1_cwh_2025_09_26_19_56_16_0012,cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,12,386.655,402.28,15.625,387.765,387.755,388.696,387.765,391.741,车辆先变化,0.9410000000000308,极强,5,4.0,4.0,3.011292144881818,方向盘快速操作,正常,True,False,True,True,0.2,114.1779393939394,3.5617683333333336,0.1457385454545454,0.1840599696969697,0.0495648409090909,1.4724763636363636,6.30731396919899,0.0537723,10.071803030303045,3.439192424242424,384.655,404.28,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,391.706,-2.7614999999999554,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.004199999999999,0.0425000000025193,0.0074832799999999,0.0206611,3.49859,10.0745,0.0537722999999999,0.0902439999999999,3.57165,0.1465,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.62 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0039959129174693,0.0426493713637535,0.9514078374929336,0.9488,1.748345,16,10.0745,10.0745,0.03,0.0064150162909467,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.62 秒，先进入复核而不直接训练,False,True,False,False,,-13.1435,-13.1451,-13.1409,0.0015999999999998,0.0025999999999992,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,386.655,387.755,车辆响应,False,1.1000000000000227,False,385.755,387.755,387.755,393.755,
rec_v1_gf_2025_09_26_10_03_00_0006,gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_03_00_vehicle.csv,6,265.405,281.625,16.220000000000027,266.779,265.549,265.45,266.779,266.675,驾驶员先动,-0.0989999999999895,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.0,113.41624242424244,4.096301212121212,0.1661930757575757,0.2364305454545454,0.0547733,1.7822823181818184,12.081288843066153,0.0,16.448757575757583,3.2709127272727274,263.405,283.625,fix_road,施工/维修变道/道路受限,273.485,-0.0299999999999727,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0049899999999993,0.0297500000015134,0.00663116,0.0246,3.48749,16.454499999999996,0.0,0.1037297,4.1039,0.166651,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 16.22 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0050475037873409,0.0298121179678394,1.0115238050784945,0.7441430332922319,1.743745,2,1.4765000000000017,16.454499999999996,0.03,0.0065860722128965,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 16.22 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0239_rec_v1_gf_2025_09_26_10_03_00_0006.png,-7.14356,-7.14415,-7.13916,0.0005899999999998,0.0043999999999995,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,265.405,265.45,驾驶员动作,False,0.045000000000015916,False,263.45,265.45,265.45,271.45,
rec_v1_hzh_2025_09_26_20_50_27_0013,hzh,2025_09_26_20_50_27,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,13,321.18,345.38,24.19999999999999,321.23,321.22,321.415,321.23,338.975,车辆先变化,0.1949999999999931,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,6.360048823529412,0.6670706176470588,0.1709598529411764,0.5266999705882353,0.1020697058823529,6.485797647058824,8.584423875440343,0.736267,35.728926470588235,3.453666470588235,319.18,347.38,,,300.702,-32.577999999999975,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0704700000000002,0.3840000000003556,0.0467655,0.307422,3.49546,35.7286,0.736267,0.1249956,0.770421,0.171147,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 24.20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0470_rec_v1_hzh_2025_09_26_20_50_27_0013.png,True,0.0784196437141977,0.3852831763889903,1.1128089075379242,0.7516785456047929,1.74761,10,0.568443,35.7286,0.706267,0.0496874731898158,False,False,True,True,False,defer_long_merged,持续时间超过 20 秒，不适合作为单个干净事件直接训练,持续时间 24.20 秒，不适合作为单个干净事件直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\07_超长误合并_需要拆分\0470_rec_v1_hzh_2025_09_26_20_50_27_0013.png,-7.1402,-7.14553,-7.07506,0.0053299999999998,0.0651400000000004,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,321.18,321.22,车辆响应,False,0.040000000000020464,False,319.22,321.22,321.22,327.22,
rec_v1_hzh_2025_09_26_21_03_19_0005,hzh,2025_09_26_21_03_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,5,160.686,176.665,15.978999999999983,161.826,161.43,161.751,161.826,163.981,车辆先变化,0.3209999999999979,极强,5,4.0,4.0,3.521195416691424,方向盘快速操作,正常,True,False,True,True,0.8,101.49766666666667,5.814303636363636,0.2710311363636363,0.3249988636363636,0.0808972166666666,2.954982272727273,11.971975174478542,0.0,13.92343939393939,3.397280909090909,158.686,178.665,middle_section,连续超车负荷事件段,166.371,-2.3044999999999902,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0071199999999995,0.0552499999984092,0.00725841,0.0143527,3.49675,13.930700000000002,0.0,0.1503941,5.81593,0.271549,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.98 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0071653472638359,0.0553121195395666,1.0063689977298456,0.6886246283836646,1.746645,16,13.294200000000004,13.930700000000002,0.03,0.0083000224938672,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.98 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0494_rec_v1_hzh_2025_09_26_21_03_19_0005.png,-7.14182,-7.14546,-7.13834,0.0036399999999998,0.0034799999999997,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,160.686,161.43,车辆响应,False,0.7439999999999998,False,159.43,161.43,161.43,167.43,
rec_v1_jy_2025_09_26_17_29_44_0011,jy,2025_09_26_17_29_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,11,535.22,550.815,15.595000000000027,539.825,535.442,541.672,539.825,541.932,车辆先变化,6.230000000000018,极强,5,4.0,4.0,1.593979560749919,方向盘快速操作,正常,False,False,True,True,1.0,110.23937878787878,5.900897878787879,0.2422978636363636,0.172892106060606,0.0820114181818181,1.5338781363636365,3.187959121499838,0.2109541666666666,28.95801666666668,3.482490757575757,533.22,552.815,,,555.923,12.90549999999996,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0093000000000014,0.0216666666678975,0.02013812,0.0645046,3.49904,28.961099999999988,0.211987,0.08815734,5.93425,0.243919,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.60 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0089314366508492,0.0217937574777762,0.9603695323492404,0.9345944212888746,1.74952,6,28.1331,28.961099999999988,0.181987,0.0197924629497413,False,False,True,True,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.60 秒，先进入复核而不直接训练,False,True,False,False,,-13.1435,-13.1475,-13.1382,0.0040000000000013,0.0053,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,535.22,539.825,风险峰值,True,4.605000000000018,True,537.825,539.825,539.825,545.825,
rec_v1_jy_2025_09_26_17_40_51_0013,jy,2025_09_26_17_40_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,13,396.855,419.11,22.254999999999995,396.865,396.86,401.115,396.865,403.725,车辆先变化,4.254999999999996,极强,5,4.0,4.0,1.6609154844305247,方向盘快速操作,可能切在事件中段,True,False,True,True,0.2,136.46019117647057,3.9565779411764703,0.1369053823529411,0.2814199117647059,0.0593138294117647,1.503523882352941,3.321830968861049,0.0,1.1862352941176368,3.4772779411764705,394.855,421.11,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,406.06,-1.9225000000000136,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0053,0.0250000000000909,0.0014295799999999,0.00786466,3.49939,1.1875000000000284,0.0,0.1040234999999999,3.96192,0.137238,True,True,False,False,False,False,False,defer_long_merged,持续时间超过 20 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,持续时间 22.25 秒，不符合单个事件通常只有十几秒的实验逻辑，疑似多个过程误合并,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\05_超长误合并_需要拆分\0676_rec_v1_jy_2025_09_26_17_40_51_0013.png,True,0.0049943595905421,0.0249645264698955,0.9423319982155046,0.9611366954959004,1.7486000000000002,12,0.2430000000000234,1.1875000000000284,0.03,0.0013561974747726,False,False,True,False,False,defer_long_merged,持续时间超过 20 秒，不适合作为单个干净事件直接训练,持续时间 22.25 秒，不适合作为单个干净事件直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\07_超长误合并_需要拆分\0676_rec_v1_jy_2025_09_26_17_40_51_0013.png,-13.1432,-13.1442,-13.1389,0.0009999999999994,0.0043000000000006,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,396.855,396.86,车辆响应,False,0.0049999999999954525,False,394.86,396.86,396.86,402.86,
rec_v1_lxy_2025_09_28_17_55_52_0018,lxy,2025_09_28_17_55_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv,18,448.649,465.065,16.415999999999997,449.274,448.694,449.255,449.274,458.999,车辆先变化,0.5609999999999786,极强,3,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.2,113.49209523809525,5.081455,0.1720645238095238,0.2958810476190476,0.0686882809523809,2.5883410952380954,18.151323072479883,0.0,15.058285714285716,3.428891666666667,446.649,467.065,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,452.609,-4.247999999999991,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0062000000000015,0.0425000000032014,0.00577216,0.0122934,3.49772,15.058999999999996,0.0,0.1276584,5.08372,0.172583,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 16.42 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0056478443129677,0.0425911320271104,0.9109426311236054,0.9171615654027714,1.746405,18,1.706000000000003,15.058999999999996,0.03,0.0054534649213691,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 16.42 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0782_rec_v1_lxy_2025_09_28_17_55_52_0018.png,-13.1431,-13.1445,-13.1383,0.0014000000000002,0.0048000000000012,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,448.649,448.694,车辆响应,False,0.045000000000015916,False,446.694,448.694,448.694,454.694,
rec_v1_rjy_2025_09_28_19_33_26_0015,rjy,2025_09_28_19_33_26,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_33_26_vehicle.csv,15,515.512,534.255,18.74300000000005,520.377,515.545,518.165,520.377,520.617,车辆先变化,2.6200000000000045,极强,5,4.0,4.0,3.675725272093717,方向盘快速操作,正常,True,False,True,True,0.8,107.57298148148148,5.337299074074075,0.2265020925925925,0.2646727962962963,0.0731004907407407,2.4529114629629625,7.351450544187433,0.170872,11.008518518518514,3.387419259259259,513.512,536.255,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,519.107,-5.776499999999942,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0086000000000012,0.0216666666678975,0.01694661,0.0286029,3.49472,11.023999999999988,0.170872,0.1295229,5.41801,0.227281,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 18.74 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_2_cleaned\figures\review_panels_v1_2\03_15到20秒_需要复核\0862_rec_v1_rjy_2025_09_28_19_33_26_0015.png,True,0.0084123446486845,0.0217582058632644,0.9781796103120224,0.9010270774976658,1.746145,8,9.909999999999982,11.023999999999988,0.140872,0.01692703346879,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 18.74 秒，先进入复核而不直接训练,False,True,False,False,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_3_cleaned\figures\review_panels_v1_3\03_15到20秒_需要复核\0862_rec_v1_rjy_2025_09_28_19_33_26_0015.png,-13.1423,-13.1476,-13.139,0.0053,0.0033000000000011,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,515.512,518.165,驾驶员动作,True,2.65300000000002,True,516.165,518.165,518.165,524.165,
rec_v1_tyy_2025_09_28_14_23_43_0012,tyy,2025_09_28_14_23_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_23_43_vehicle.csv,12,500.095,515.415,15.319999999999936,501.06,500.31,500.2,501.06,509.075,驾驶员先动,-0.1100000000000136,极强,5,4.0,4.0,3.73079776209231,方向盘快速操作,正常,True,False,True,True,0.8,104.97861764705884,7.688312941176471,0.3458704117647059,0.8802966176470589,0.0815834235294117,3.7494708823529415,9.413790311402884,0.0,8.766179411764696,3.440677058823529,498.095,517.415,,,522.605,14.850000000000025,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测,,,False,False,保留为主训练候选,用户已初步复核，核心/保守弱操作/次级样本整体可保留,True,False,False,True,0.0893999999999994,0.6550000000004275,0.04420322,0.401205,3.49459,8.769499999999994,0.0,0.1624183,8.18714,0.352843,True,False,False,False,False,False,False,review_duration_15_20s,持续时间 15-20 秒，接近或超过常规事件上限，先进入复核而不直接训练,持续时间 15.32 秒，接近或超过常规事件上限，先进入复核而不直接训练,False,True,False,False,,True,0.0892204264500389,0.5204128127588818,0.9979913473158782,0.8756730298580518,1.746945,16,0.0225000000000079,8.769499999999994,0.03,0.0441833772931903,False,False,True,False,False,review_duration_15_20s,持续时间 15-20 秒，先进入复核而不直接训练,持续时间 15.32 秒，先进入复核而不直接训练,False,True,False,False,,-13.1419,-13.1523,-13.0629,0.0104000000000006,0.0789999999999988,False,defer_prior_review,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,继承 v1.3：仍需要复核或拆分，暂不进入当前训练候选,False,True,False,False,,defer_prior_review,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,继承 v1.4：仍需复核或拆分，不进入当前主训练候选,False,True,False,False,,defer_noncurve_prior_review,非弯道仍需复核或拆分：继承 v1.5,非弯道仍需复核或拆分：继承 v1.5,False,True,False,False,500.095,500.2,驾驶员动作,False,0.10499999999996135,False,498.2,500.2,500.2,506.2,
